delta_BPM,n_trials,single_correct,fused_correct,single_p_correct,fused_p_correct
-3.0,40,31,39,0.775,0.975
-2.0,40,30,37,0.75,0.925
-1.0,40,20,24,0.5,0.6
-0.5,40,14,12,0.35,0.3
0.5,40,17,12,0.425,0.3
1.0,40,13,27,0.325,0.675
2.0,40,31,32,0.775,0.8
3.0,40,34,40,0.85,1.0
